"","fips","netwp_h"
"1056","21131",NA
"1057","21133",NA
"1058","21135",NA
"1059","21137",NA
"1060","21139",NA
"1061","21141",NA
"1062","21143",NA
"1063","21145",-0.00279465224593878
"1064","21147",NA
"1065","21149",NA
"1066","21151",NA
"1067","21153",NA
"1068","21155",NA
"1069","21157",NA
"1070","21159",NA
"1071","21161",NA
"1072","21163",NA
"1073","21165",NA
"1074","21167",NA
"1075","21169",NA
"1076","21171",NA
"1077","21173",NA
"1078","21175",NA
"1079","21177",NA
"1080","21179",-0.00750605575740337
"1081","21181",NA
"1082","21183",NA
"1083","21185",-0.0217502526938915
"1084","21187",NA
"1085","21189",NA
"1086","21191",NA
"1087","21193",NA
"1088","21195",NA
"1089","21197",NA
"1090","21199",NA
"1091","21201",NA
"1092","21203",NA
"1093","21205",NA
"1094","21207",NA
"1095","21209",NA
"1096","21211",NA
"1097","21213",NA
"1098","21215",-0.0219006277620792
"1099","21217",NA
"1100","21219",NA
"1101","21221",NA
"1102","21223",NA
"1103","21225",NA
"1104","21227",NA
"1105","21229",NA
"1106","21231",NA
"1107","21233",NA
"1108","21235",NA
"1109","21237",NA
"1110","21239",NA
"1111","22001",NA
"1112","22003",NA
"1113","22005",0.00581317348405719
"1114","22007",NA
"1115","22009",NA
"1116","22011",NA
"1117","22013",NA
"1118","22015",0.00611965917050838
"1119","22017",-0.0238960776478052
"1120","22019",NA
"1121","22021",NA
"1122","22023",NA
"1123","22025",NA
"1124","22027",NA
"1125","22029",NA
"1126","22031",NA
"1127","22033",0.00277041457593441
"1128","22035",NA
"1129","22037",NA
"1130","22039",NA
"1131","22041",NA
"1132","22043",NA
"1133","22045",NA
"1134","22047",NA
"1135","22049",NA
"1136","22051",-0.0189972501248121
"1137","22053",NA
"1138","22055",-0.00153841148130596
"1139","22057",NA
"1140","22059",NA
"1141","22061",0.0131572000682354
"1142","22063",-0.0296750459820032
"1143","22065",NA
"1144","22067",NA
"1145","22069",NA
